"UTM Easting","UTM Northing","Cotton Yield"
713193,6787193,6.72532753112428
713193,6787191,6.33584144135319
713193,6787189,5.94112416721968
713193,6787187,5.95174841389299
713193,6787185,5.97135549314343
713193,6787183,6.44582405147783
713193,6787181,6.84031640037131
713193,6787179,7.24949750052957
713193,6787177,7.6216711990774
713193,6787175,8.05280554346234
713193,6787173,8.15365751264585
713193,6787171,8.31728865792786
713193,6787169,8.5088181962145
713193,6787167,8.45202885187797
713193,6787165,8.29420576001144
713193,6787163,8.03310523237958
713193,6787161,7.75576647328964
713193,6787159,7.40111259719314
713193,6787157,7.29453686284207
713193,6787155,7.25483881749423
713193,6787153,7.24355422884415
713193,6787151,7.29810788775723
713193,6787149,7.36861367419339
713193,6787147,7.47600713278388
713193,6787145,7.53916860683424
713193,6787143,7.5804525622683
713195,6787271,7.64955350021725
713195,6787269,7.81092976501662
713195,6787267,7.84069022430648
713195,6787265,7.87541076014464
713195,6787263,7.91013129598281
713195,6787261,7.91013129598281
713195,6787259,7.91013129598281
713195,6787257,8.14158434308175
713195,6787255,8.34989208547081
713195,6787253,8.56977248021481
713195,6787251,8.80012336994662
713195,6787249,9.00953326970281
713195,6787247,8.7812920499664
713195,6787245,8.62627622647372
713195,6787243,8.48366166886046
713195,6787241,8.32571682951803
713195,6787239,8.16777199017561
713195,6787237,8.21980907299068
713195,6787235,8.21980907299068
713195,6787233,8.18195261330919
713195,6787231,8.08731146410545
713195,6787229,7.71636058446142
713195,6787227,7.47529017948279
713195,6787225,7.36410024916957
713195,6787223,7.29076677853785
713195,6787221,7.27421799742836
713195,6787219,7.53397894675918
713195,6787217,7.66385942142459
713195,6787215,7.52973600778675
713195,6787213,7.43307706180326
713195,6787211,7.3926148173013
713195,6787209,7.35215257279933
713195,6787207,7.31169032829736
713195,6787205,7.47336439812805
713195,6787203,7.61457722547809
713195,6787201,7.66310437774455
713195,6787199,7.7185589948135
713195,6787197,7.46491765898289
713195,6787195,7.15514774378136
713195,6787193,6.77480975898335
713195,6787191,6.47006070658054
713195,6787189,6.17652202590051
713195,6787187,6.22323023622162
713195,6787185,6.25925203437129
713195,6787183,6.68746675981907
713195,6787181,7.02046708098406
713195,6787179,7.35088382468917
713195,6787177,7.66362137150913
713195,6787175,7.99119710810257
713195,6787173,8.08126413314451
713195,6787171,8.21215185962256
713195,6787169,8.36397553563604
713195,6787167,8.31750934496722
713195,6787165,8.21450756308044
713195,6787163,8.0226606160166
713195,6787161,7.82757540242974
713195,6787159,7.55774574819094
713195,6787157,7.45929585002995
713195,6787155,7.42335719269476
713195,6787153,7.40381568121144
713195,6787151,7.43798114284598
713195,6787149,7.48639380695515
713195,6787147,7.57499622732935
713195,6787145,7.62473313316496
713195,6787143,7.65984238955992
713197,6787285,7.60064390271928
713197,6787283,7.60181086744501
713197,6787281,7.51037915766609
713197,6787279,7.37300173630932
713197,6787277,7.34443608770045
713197,6787275,7.39377046748048
713197,6787273,7.4373008025805
713197,6787271,7.58196411298556
713197,6787269,7.75702737878218
713197,6787267,7.83201009034694
713197,6787265,7.8667306261851
713197,6787263,7.90186450173562
713197,6787261,7.9101312959828
713197,6787259,7.9101312959828
713197,6787257,8.13917337384114
713197,6787255,8.34989208547081
713197,6787253,8.56977248021481
713197,6787251,8.78965287495881
713197,6787249,9.00953326970281
