"UTM Easting","UTM Northing","Cotton Yield"
713839,6787425,7.09738764543974
713841,6787425,7.3290533065119
713841,6787423,8.25571595080054
713841,6787421,8.86998558811428
713841,6787419,9.81326788221348
713841,6787417,10.5920438479199
713841,6787415,10.6532910701555
713841,6787413,10.2962704907556
713843,6787427,6.40239066222326
713843,6787425,7.44488613704798
713843,6787423,8.34838221522941
713843,6787421,8.99740734671146
713843,6787419,9.90593414664234
713843,6787417,10.6847101123488
713843,6787415,10.6470275512186
713843,6787413,10.2962704907556
713843,6787411,10.3619448968592
713843,6787409,10.3382208798704
713845,6787427,6.79953179548982
713845,6787425,7.86554220583691
713845,6787423,8.71904727294487
713845,6787421,9.40515697422247
713845,6787419,10.1839329399289
713845,6787417,10.7403098710061
713845,6787415,10.6433738318388
713845,6787413,10.3191137624438
713845,6787411,10.3963457762467
713845,6787409,10.3702890918208
713845,6787407,10.3381014228241
713845,6787405,10.2972641326361
713845,6787403,10.2159555205013
713845,6787401,10.0844784051058
713845,6787399,10.1074981428464
713847,6787427,7.14372077765417
713847,6787425,8.34838221522941
713847,6787423,9.07117907777455
713847,6787421,9.84995504348102
713847,6787419,10.6287310091875
713847,6787417,10.9627089056354
713847,6787415,10.6294896981955
713847,6787413,10.3383021106619
713847,6787411,10.4276193029627
713847,6787409,10.3930270730543
713847,6787407,10.3552900949725
713847,6787405,10.313959118978
713847,6787403,10.2159555205013
713847,6787401,10.0865784513558
713847,6787399,10.1110789909394
713847,6787397,10.0683650823832
713847,6787395,10.0203119352575
713847,6787393,9.96585170184842
713847,6787391,9.88640858867886
713847,6787389,9.78485474513355
713847,6787387,9.76274401475779
713847,6787385,9.74379196015
713847,6787383,9.57066538166428
713849,6787427,7.86458950342991
713849,6787425,8.84025069974543
713849,6787423,9.47265154872678
713849,6787421,10.1618907962718
713849,6787419,10.8511300438168
713849,6787417,10.9627089056354
713849,6787415,10.6505055081486
713849,6787413,10.3803337305682
713849,6787411,10.4854127803339
713849,6787409,10.4390642753288
713849,6787407,10.3927157703238
713849,6787405,10.3253514553657
713849,6787403,10.2215416435263
713849,6787401,10.0936223564861
713849,6787399,10.1191748214105
713849,6787397,10.0748292257194
713849,6787395,10.0262602399624
713849,6787393,9.96585170184842
713849,6787391,9.88088090608492
713849,6787389,9.7793270625396
713849,6787387,9.75721633216385
713849,6787385,9.68539567692277
713849,6787383,9.49635246547727
713849,6787381,9.29157203220751
713849,6787379,9.0819228545063
713849,6787377,9.00682919895669
713849,6787375,9.27453275469843
713851,6787427,8.89469606773675
713851,6787425,9.61556904143845
713851,6787423,10.1013711297534
713851,6787421,10.630592929631
713851,6787419,11.1386878867542
713851,6787417,10.9977983846858
713851,6787415,10.6857766723384
713851,6787413,10.4157865798972
713851,6787411,10.5089739913524
713851,6787409,10.4718606907912
713851,6787407,10.4347473902301
713851,6787405,10.3463672653188
713851,6787403,10.2271277665514
713851,6787401,10.103630826906
713851,6787399,10.1315614420313
713851,6787397,10.0800489439871
713851,6787395,10.0285364459428
713851,6787393,9.96585170184841
713851,6787391,9.87756429652856
713851,6787389,9.77601045298324
713851,6787387,9.75389972260749
713851,6787385,9.65133117837356
713851,6787383,9.45434951284982
713851,6787381,9.24951075517655
713851,6787379,9.04095692323135
713851,6787377,9.04240987433178
713851,6787375,9.38086445766374
713851,6787373,9.87480573910521
713851,6787371,10.4304896807269
713851,6787369,11.0602648145647
713851,6787367,11.2229359172966
713851,6787365,11.0226884502184
713851,6787363,10.8605833578217
713851,6787361,10.6735390204409
713853,6787429,8.97081205112005
713853,6787427,9.85952621908676
713853,6787425,10.3618429227201
713853,6787423,10.7087410758235
713853,6787421,11.0968775573114
713853,6787419,11.3748157278723
713853,6787417,11.0038968430383
713853,6787415,10.6842447825544
713853,6787413,10.4810259353979
713853,6787411,10.5612419180309
713853,6787409,10.5399412003844
713853,6787407,10.4897290672045
713853,6787405,10.3882501096744
713853,6787403,10.2614979013132
713853,6787401,10.1380009616678
713853,6787399,10.1371475650564
713853,6787397,10.0856350670121
713853,6787395,10.0341225689679
713853,6787393,9.96585170184841
713853,6787391,9.8731421504534
713853,6787389,9.77158830690809
713853,6787387,9.74947757653234
713853,6787385,9.60938496408473
713853,6787383,9.39063776358923
713853,6787381,9.18515700131917
713853,6787379,8.98852053119942
713853,6787377,9.06316526830059
713853,6787375,9.44096498542675
713853,6787373,9.94249034507336
713853,6787371,10.4917800246863
713853,6787369,11.0959986722606
713853,6787367,11.1895613394503
713853,6787365,10.989313872372
713853,6787363,10.8154147562251
713853,6787361,10.6358644964479
713853,6787359,10.4641409881027
713853,6787357,10.3961067081382
713853,6787355,10.4283404009804
713853,6787353,10.4375438538193
713855,6787429,9.9700309325055
713855,6787427,10.5709717044581
713855,6787425,10.9215204880972
713855,6787423,11.2030857504522
713855,6787421,11.4565421948749
